"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 12 00:29:58 GMT+06:00 2021","Tue Oct 12 00:30:00 GMT+06:00 2021","2048","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:28:20 GMT+06:00 2021","Tue Oct 12 00:28:27 GMT+06:00 2021","6826","CRUD contacts and groups","Test groups creation","qa.issart.com.tests.GroupCreationTests","qa.issart.com.tests.GroupCreationTests","addToGroupList","addToGroupList",""
"passed","Tue Oct 12 00:35:16 GMT+06:00 2021","Tue Oct 12 00:35:35 GMT+06:00 2021","19837","CRUD contacts and groups","Test contacts deletion","qa.issart.com.tests.ContactDeletionTests","qa.issart.com.tests.ContactDeletionTests","deleteContactsByIndices","deleteContactsByIndices",""
"passed","Tue Oct 12 00:33:30 GMT+06:00 2021","Tue Oct 12 00:33:49 GMT+06:00 2021","19404","CRUD contacts and groups","Test contacts deletion","qa.issart.com.tests.ContactDeletionTests","qa.issart.com.tests.ContactDeletionTests","deleteContactsByIndices","deleteContactsByIndices",""
"passed","Tue Oct 12 00:34:40 GMT+06:00 2021","Tue Oct 12 00:35:00 GMT+06:00 2021","19357","CRUD contacts and groups","Test contacts deletion","qa.issart.com.tests.ContactDeletionTests","qa.issart.com.tests.ContactDeletionTests","deleteContactsByIndices","deleteContactsByIndices",""
"passed","Tue Oct 12 00:30:00 GMT+06:00 2021","Tue Oct 12 00:30:02 GMT+06:00 2021","2414","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:28:55 GMT+06:00 2021","Tue Oct 12 00:29:05 GMT+06:00 2021","9438","CRUD contacts and groups","Test contacts creation","qa.issart.com.tests.ContactCreationTests","qa.issart.com.tests.ContactCreationTests","addToContactList","addToContactList",""
"passed","Tue Oct 12 00:29:53 GMT+06:00 2021","Tue Oct 12 00:29:56 GMT+06:00 2021","2074","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:31:39 GMT+06:00 2021","Tue Oct 12 00:32:07 GMT+06:00 2021","27585","CRUD contacts and groups","Test contacts modification","qa.issart.com.tests.ContactModificationTest","qa.issart.com.tests.ContactModificationTest","modifyContactFromList","modifyContactFromList",""
"passed","Tue Oct 12 00:34:05 GMT+06:00 2021","Tue Oct 12 00:34:24 GMT+06:00 2021","18955","CRUD contacts and groups","Test contacts deletion","qa.issart.com.tests.ContactDeletionTests","qa.issart.com.tests.ContactDeletionTests","deleteContactsByIndices","deleteContactsByIndices",""
"passed","Tue Oct 12 00:29:51 GMT+06:00 2021","Tue Oct 12 00:29:53 GMT+06:00 2021","2006","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:28:15 GMT+06:00 2021","Tue Oct 12 00:28:20 GMT+06:00 2021","4997","CRUD contacts and groups","Test groups creation","qa.issart.com.tests.GroupCreationTests","qa.issart.com.tests.GroupCreationTests","addToGroupList","addToGroupList",""
"passed","Tue Oct 12 00:32:29 GMT+06:00 2021","Tue Oct 12 00:32:31 GMT+06:00 2021","1476","CRUD contacts and groups","Test groups deletion","qa.issart.com.tests.GroupDeletionTests","qa.issart.com.tests.GroupDeletionTests","deleteGroupsByIndices","deleteGroupsByIndices",""
"passed","Tue Oct 12 00:29:05 GMT+06:00 2021","Tue Oct 12 00:29:14 GMT+06:00 2021","9272","CRUD contacts and groups","Test contacts creation","qa.issart.com.tests.ContactCreationTests","qa.issart.com.tests.ContactCreationTests","addToContactList","addToContactList",""
"passed","Tue Oct 12 00:31:12 GMT+06:00 2021","Tue Oct 12 00:31:39 GMT+06:00 2021","27169","CRUD contacts and groups","Test contacts modification","qa.issart.com.tests.ContactModificationTest","qa.issart.com.tests.ContactModificationTest","modifyContactFromList","modifyContactFromList",""
"passed","Tue Oct 12 00:30:45 GMT+06:00 2021","Tue Oct 12 00:31:12 GMT+06:00 2021","27150","CRUD contacts and groups","Test contacts modification","qa.issart.com.tests.ContactModificationTest","qa.issart.com.tests.ContactModificationTest","modifyContactFromList","modifyContactFromList",""
"passed","Tue Oct 12 00:29:56 GMT+06:00 2021","Tue Oct 12 00:29:58 GMT+06:00 2021","2036","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:29:49 GMT+06:00 2021","Tue Oct 12 00:29:51 GMT+06:00 2021","2172","CRUD contacts and groups","Test groups modification","qa.issart.com.tests.GroupModificationTests","qa.issart.com.tests.GroupModificationTests","modifyGroupFromList","modifyGroupFromList",""
"passed","Tue Oct 12 00:32:54 GMT+06:00 2021","Tue Oct 12 00:33:14 GMT+06:00 2021","20144","CRUD contacts and groups","Test contacts deletion","qa.issart.com.tests.ContactDeletionTests","qa.issart.com.tests.ContactDeletionTests","deleteContactsByIndices","deleteContactsByIndices",""
"passed","Tue Oct 12 00:30:21 GMT+06:00 2021","Tue Oct 12 00:30:45 GMT+06:00 2021","23879","CRUD contacts and groups","Test contacts modification","qa.issart.com.tests.ContactModificationTest","qa.issart.com.tests.ContactModificationTest","modifyContactFromList","modifyContactFromList",""
"passed","Tue Oct 12 00:32:26 GMT+06:00 2021","Tue Oct 12 00:32:28 GMT+06:00 2021","1392","CRUD contacts and groups","Test groups deletion","qa.issart.com.tests.GroupDeletionTests","qa.issart.com.tests.GroupDeletionTests","deleteGroupsByIndices","deleteGroupsByIndices",""
"passed","Tue Oct 12 00:28:12 GMT+06:00 2021","Tue Oct 12 00:28:15 GMT+06:00 2021","3007","CRUD contacts and groups","Test groups creation","qa.issart.com.tests.GroupCreationTests","qa.issart.com.tests.GroupCreationTests","addToGroupList","addToGroupList",""
"passed","Tue Oct 12 00:32:31 GMT+06:00 2021","Tue Oct 12 00:32:33 GMT+06:00 2021","1854","CRUD contacts and groups","Test groups deletion","qa.issart.com.tests.GroupDeletionTests","qa.issart.com.tests.GroupDeletionTests","deleteGroupsByIndices","deleteGroupsByIndices",""
"passed","Tue Oct 12 00:29:14 GMT+06:00 2021","Tue Oct 12 00:29:23 GMT+06:00 2021","9269","CRUD contacts and groups","Test contacts creation","qa.issart.com.tests.ContactCreationTests","qa.issart.com.tests.ContactCreationTests","addToContactList","addToContactList",""
"passed","Tue Oct 12 00:28:45 GMT+06:00 2021","Tue Oct 12 00:28:55 GMT+06:00 2021","9813","CRUD contacts and groups","Test contacts creation","qa.issart.com.tests.ContactCreationTests","qa.issart.com.tests.ContactCreationTests","addToContactList","addToContactList",""
"passed","Tue Oct 12 00:32:28 GMT+06:00 2021","Tue Oct 12 00:32:29 GMT+06:00 2021","871","CRUD contacts and groups","Test groups deletion","qa.issart.com.tests.GroupDeletionTests","qa.issart.com.tests.GroupDeletionTests","deleteGroupsByIndices","deleteGroupsByIndices",""
"passed","Tue Oct 12 00:28:27 GMT+06:00 2021","Tue Oct 12 00:28:28 GMT+06:00 2021","1570","CRUD contacts and groups","Test groups creation","qa.issart.com.tests.GroupCreationTests","qa.issart.com.tests.GroupCreationTests","addToGroupList","addToGroupList",""
"passed","Tue Oct 12 00:32:33 GMT+06:00 2021","Tue Oct 12 00:32:36 GMT+06:00 2021","2568","CRUD contacts and groups","Test groups deletion","qa.issart.com.tests.GroupDeletionTests","qa.issart.com.tests.GroupDeletionTests","deleteGroupsByIndices","deleteGroupsByIndices",""
